Open Date,Net P&L,Net ROI
2025-01-02,-577.5,-0.00041044
2025-01-02,-575.0,-0.00026938
2025-01-03,535.5,0.00179237
2025-01-03,-1008.0,-0.00168893
2025-01-06,577.5,0.00120533
2025-01-06,567.5,0.00260154
2025-01-07,-555.0,-0.00011473
2025-01-08,-511.5,-0.00108867
2025-01-08,1060.5,0.00118306
2025-01-08,-1035.0,-0.00268965
2025-01-08,1100.0,0.00117129
2025-01-08,-489.0,-0.0019049
2025-01-08,-578.0,-0.00039855
2025-01-08,-663.0,-0.00119452
2025-01-08,570.0,0.00089209
2025-01-08,-568.0,-0.00018731
2025-01-08,540.0,0.00031619
2025-01-08,-573.5,-0.00036303
2025-01-08,588.0,0.0009829
2025-01-13,567.0,0.00050548
2025-01-13,588.0,0.00101094
2025-01-13,1698.5,0.00095182
2025-01-13,-580.0,-0.0004813
2025-01-13,648.0,0.00065046
2025-01-13,-573.5,-0.00044511
2025-01-13,2656.0,0.00038555
2025-01-14,1240.0,0.00073558
2025-01-14,1240.0,0.00073647
2025-01-14,2182.5,0.00115108
2025-01-14,-1436.5,-0.00200453
2025-01-14,572.0,0.00104671
2025-01-15,1944.0,0.00169767
2025-01-15,-551.0,-0.00022347
2025-01-15,-240.0,-0.00047002
2025-01-16,589.5,0.00152943
2025-01-16,-573.5,-0.0004309
2025-01-16,574.0,0.00095665
2025-01-17,564.0,0.0010908
2025-01-17,-570.0,-0.00017366
2025-01-17,-572.0,-0.0006022
2025-01-17,-570.0,-0.00034741
2025-01-17,672.0,0.0004863
2025-01-17,2941.5,0.00061327
2025-01-17,-575.0,-0.0002658
2025-01-17,-580.5,-0.00031208
2025-01-17,-540.0,-0.00013882
2025-01-17,569.5,0.00077577
2025-01-17,-562.5,-0.00010419
2025-01-17,567.0,0.00073005
2025-01-20,565.5,0.00100031
2025-01-20,585.0,0.00044875
2025-01-20,588.5,0.00123367
2025-01-20,-639.0,-0.00010361
2025-01-20,635.5,0.00035694
2025-01-20,-900.0,-0.00010359
2025-01-20,788.5,0.00021873
2025-01-20,-574.0,-0.00032221
2025-01-20,-98.0,-0.00016127
2025-01-23,-567.0,-0.00061625
2025-01-23,-580.5,-0.00030835
2025-01-23,-575.0,-0.00026278
2025-01-23,568.0,0.00081116
2025-01-23,1750.0,0.0003199
2025-01-23,-580.0,-0.00045658
2025-01-23,-567.0,-0.00047941
2025-01-24,-544.5,-0.00137194
2025-01-24,-666.0,-0.00125762
2025-01-24,569.5,0.00076112
2025-01-28,-572.0,-0.00025792
2025-01-30,-573.5,-0.00035793
2025-01-30,731.0,0.00039266
2025-01-30,2400.0,0.002315
2025-02-03,582.0,0.00114244
2025-02-03,-535.0,-0.00126031
2025-02-03,540.0,0.00127387
2025-02-03,-550.0,-0.00129538
2025-02-05,-565.0,-0.00130937
2025-02-05,561.0,0.00118302
2025-02-05,561.0,0.00076689
2025-02-05,-533.5,-0.00112478
2025-02-06,616.0,0.00064351
2025-02-06,1161.5,0.0011602
2025-02-06,594.0,0.00113546
2025-02-06,564.0,0.00107848
2025-02-06,-590.0,-0.00067643
2025-02-06,540.0,0.00137738
2025-02-06,918.0,0.00078123
2025-02-06,838.5,0.0004482
2025-02-06,-568.0,-0.00018374
2025-02-06,-492.0,-0.00094124
2025-02-06,-578.0,-0.0003902
2025-02-06,576.0,0.00073454
2025-02-06,652.5,0.00051691
2025-02-06,-577.5,-0.00024105
2025-02-06,640.0,0.00036744
2025-02-06,1755.0,0.00089645
2025-02-07,2948.0,0.00306805
2025-02-10,1247.0,0.00066661
2025-02-10,576.0,0.00110235
2025-02-13,-1216.0,-0.00146231
2025-02-13,-903.0,-0.00147284
2025-02-13,576.0,0.00082244
2025-02-14,-568.0,-0.00018095
2025-02-14,-590.0,-0.00066663
2025-02-14,-573.5,-0.00041794
2025-02-14,1992.0,0.00054269
2025-02-14,-590.0,-0.00066656
2025-02-14,-585.0,-0.00044037
2025-02-14,-573.5,-0.00041817
2025-02-14,-585.0,-0.00044055
2025-02-14,-564.0,-0.00027105
2025-02-14,-539.5,-0.0001469
2025-02-14,34.5,0.00003389
2025-02-17,-444.0,-0.0016644
2025-02-17,1165.5,0.00023616
2025-02-17,1162.0,0.00015742
2025-02-17,-570.0,-0.00016863
2025-02-17,-550.0,-0.00012362
2025-02-17,-562.5,-0.00010116
2025-02-17,1245.0,0.00016862
2025-02-17,-550.0,-0.00012366
2025-02-17,90.0,0.00002249
2025-02-19,2040.0,0.00135214
2025-02-19,579.5,0.00068782
2025-02-19,-580.0,-0.00065374
2025-02-19,-585.0,-0.00043919
2025-02-19,-576.0,-0.00040555
2025-02-19,4294.0,0.00127307
2025-02-19,-576.0,-0.00040501
2025-02-19,-585.0,-0.00043868
2025-02-20,620.0,0.00022519
2025-02-21,-577.5,-0.00037227
2025-02-21,572.0,0.00161686
2025-02-24,1032.0,0.00055231
2025-02-24,540.0,0.00138365
2025-02-25,-603.0,-0.0015669
2025-02-25,502.5,0.00236001
2025-02-26,2145.0,0.00168537
2025-02-26,591.5,0.00198758
2025-02-28,574.0,0.00099657
2025-02-28,-684.0,-0.0041448
2025-02-28,-567.0,-0.00076497
2025-02-28,-567.0,-0.00050967
2025-02-28,-679.5,-0.00183232
2025-02-28,516.0,0.00312989
2025-03-04,-786.5,-0.00175583
2025-03-04,567.0,0.00199923
2025-03-04,-695.5,-0.00131605
2025-03-04,36.0,0.00014782
2025-03-05,-508.5,-0.00138269
2025-03-05,556.5,0.00194365
2025-03-05,-580.5,-0.00052577
2025-03-05,-504.0,-0.00137016
2025-03-05,-655.0,-0.00160441
2025-03-05,552.0,0.00169313
2025-03-05,586.5,0.000846
2025-03-05,-580.5,-0.00033065
2025-03-05,-747.0,-0.00011016
2025-03-06,-567.0,-0.00066567
2025-03-06,576.0,0.00118369
2025-03-06,-650.0,-0.00319839
2025-03-06,585.0,0.00096052
2025-03-06,520.0,0.00256195
2025-03-06,730.0,0.0008996
2025-03-06,-568.0,-0.00087507
2025-03-06,504.0,0.00051845
2025-03-07,552.5,0.0010599
2025-03-07,472.5,0.00391071
2025-03-07,-617.5,-0.00307298
2025-03-10,-564.0,-0.0023654
2025-03-10,540.0,0.00136085
2025-03-11,567.0,0.00081156
2025-03-11,540.0,0.0023273
2025-03-11,-825.0,-0.00192626
2025-03-11,565.5,0.00111802
2025-03-11,546.0,0.00200571
2025-03-11,576.0,0.00185021
2025-03-12,572.0,0.00111752
2025-03-12,-564.0,-0.00030474
2025-03-13,577.5,0.00134469
2025-03-13,591.5,0.00216917
2025-03-13,-577.5,-0.00042246
2025-03-13,585.0,0.00166575
2025-03-17,566.5,0.00130628
2025-03-17,-455.0,-0.00088846
2025-03-17,-639.0,-0.00011421
2025-03-17,-580.5,-0.00034257
2025-03-17,-442.0,-0.00280453
2025-03-19,576.0,0.00081855
2025-03-19,-624.0,-0.00132648
2025-03-19,-1125.0,-0.00011479
2025-03-19,-580.0,-0.00073935
2025-03-24,3600.0,0.00088898
2025-03-24,-1007.0,-0.00130769
2025-03-25,925.0,0.00045358
2025-03-25,-550.0,-0.00013482
2025-03-25,1411.0,0.00020836
2025-03-25,920.0,0.00056429
2025-03-25,-563.5,-0.00059973
2025-03-26,586.5,0.00084327
2025-03-27,572.0,0.00110179
2025-03-27,-1056.0,-0.0023922
2025-03-27,-582.0,-0.00120896
2025-03-28,-579.0,-0.00242511
2025-03-28,-570.0,-0.00071577
2025-03-28,-539.5,-0.00016344
2025-03-28,544.5,0.00152566
2025-03-31,-576.0,-0.00062639
2025-03-31,594.0,0.00172791
2025-03-31,565.0,0.00147801
2025-03-31,-476.0,-0.00177423
2025-03-31,-702.0,-0.00101604
2025-03-31,-580.0,-0.00037796
2025-03-31,572.0,0.00186183
2025-04-01,14000.0,0.0014477
2025-04-01,-656.0,-0.00211512
2025-04-01,-537.5,-0.00277545
2025-04-02,564.0,0.00363496
2025-04-03,550.0,0.00131515
2025-04-03,-696.5,-0.00261653
2025-04-03,-438.0,-0.00192211
2025-04-03,-496.5,-0.00435332
2025-04-03,-396.0,-0.00130714
2025-04-03,525.0,0.00231828
2025-04-03,-576.0,-0.00047542
2025-04-03,-525.0,-0.00138599
2025-04-03,585.0,0.00085961
2025-04-03,582.0,0.00128414
2025-04-04,540.0,0.0037379
2025-04-04,581.0,0.00114428
2025-04-04,-531.0,-0.00243543
2025-04-04,-562.5,-0.00034314
2025-04-04,577.5,0.00144858
2025-04-07,567.0,0.00186658
2025-04-07,-1575.0,-0.00331306
2025-04-08,2343.5,0.00149909
2025-04-08,-541.5,-0.00078394
2025-04-08,-575.0,-0.00031666
2025-04-08,576.0,0.00099205
2025-04-09,-583.0,-0.00076782
2025-04-09,566.5,0.00149066
2025-04-09,-690.0,-0.00332687
2025-04-09,558.0,0.00269425
2025-04-09,555.0,0.00160444
2025-04-10,-1124.0,-0.00373238
2025-04-10,549.5,0.00209829
2025-04-10,486.0,0.00325371
2025-04-11,567.0,0.00220324
2025-04-11,581.0,0.00112548
2025-04-11,575.0,0.00155772
2025-04-11,540.0,0.0036452
2025-04-11,-638.0,-0.00157199
2025-04-11,576.0,0.00130113
2025-04-11,-1138.5,-0.00342874
2025-04-11,-868.0,-0.00293747
2025-04-11,567.0,0.00255281
2025-04-14,462.5,0.0122904
2025-04-15,561.0,0.00086905
2025-04-15,5893.0,0.00093644
2025-04-15,-720.0,-0.00189439
2025-04-15,562.5,0.00164357
2025-04-15,570.0,0.00149976
2025-04-16,-570.0,-0.00040253
2025-04-16,-918.0,-0.00273345
2025-04-16,567.0,0.00108827
2025-04-16,-560.0,-0.00093865
2025-04-16,-580.0,-0.00053656
2025-04-16,-840.0,-0.00140919
2025-04-16,560.0,0.00094065
2025-04-16,-909.0,-0.00135496
2025-04-16,572.0,0.00118132
2025-04-16,-525.0,-0.00140794
2025-04-16,935.0,0.00045691
2025-04-16,724.5,0.00092773
2025-04-16,-12.0,-0.00002689
2025-04-17,586.5,0.00093425
2025-04-23,567.0,0.00248602
2025-04-23,588.0,0.00257627
2025-04-23,-274.5,-0.00241135
2025-04-23,591.5,0.002239
2025-04-24,586.5,0.00091426
2025-04-24,513.0,0.002264
2025-04-25,-574.0,-0.00036264
2025-04-25,540.0,0.00140271
2025-04-25,-693.0,-0.00298963
2025-04-25,-539.5,-0.00016836
2025-04-25,588.0,0.00108996
2025-04-25,-575.0,-0.00059562
2025-04-25,-573.5,-0.00047822
2025-04-25,560.0,0.00144933
2025-04-25,-573.5,-0.00040091
2025-04-25,-577.5,-0.00042682
2025-04-28,-855.0,-0.00121339
2025-04-28,567.0,0.00103834
2025-04-28,-580.5,-0.00034559
2025-04-28,552.0,0.00177184
2025-04-29,-501.5,-0.00075843
2025-04-29,556.5,0.00204205
2025-04-30,-644.0,-0.00119357
2025-04-30,-562.5,-0.00032405
2025-04-30,-580.0,-0.00037579
2025-04-30,565.5,0.00112703
2025-04-30,-574.0,-0.00053098
2025-05-01,582.0,0.00121693
2025-05-01,690.0,0.00057591
2025-05-01,-561.0,-0.00021262
2025-05-01,544.5,0.00151242
2025-05-01,-656.0,-0.00102592
2025-05-02,1196.0,0.00114505
2025-05-02,360.0,0.00022385
2025-05-02,577.5,0.00095802
2025-05-02,-517.5,-0.00257533
2025-05-02,589.5,0.00162699
2025-05-06,-562.5,-0.00031537
2025-05-06,2697.5,0.00082191
2025-05-06,562.5,0.00094945
2025-05-06,-833.0,-0.0015015
2025-05-07,517.5,0.00056545
2025-05-07,567.0,0.00101839
2025-05-07,-747.0,-0.00011306
2025-05-08,722.0,0.00023557
2025-05-08,545.0,0.00135127
2025-05-09,-587.5,-0.00057997
2025-05-09,-570.0,-0.00018524
2025-05-09,-562.5,-0.00030886
2025-05-09,774.0,0.00044435
2025-05-09,-495.0,-0.00081434
2025-05-09,615.0,0.00050659
2025-05-14,-981.0,-0.00127739
2025-05-14,567.0,0.00073937
2025-05-14,-500.0,-0.00117148
2025-05-14,-467.5,-0.00064472
2025-05-14,590.0,0.00069144
2025-05-14,-573.5,-0.00043365
2025-05-14,4191.5,0.00118533
2025-05-14,-558.0,-0.00021098
2025-05-14,609.0,0.000246
2025-05-14,577.5,0.00122913
2025-05-15,-904.5,-0.00235702
2025-05-15,-590.0,-0.00069242
2025-05-15,1612.0,0.00072775
2025-05-15,1491.0,0.00049323
2025-05-15,-632.0,-0.00092716
2025-05-15,945.0,0.00082163
2025-05-15,581.0,0.00097418
2025-05-16,-480.0,-0.00111889
2025-05-16,-590.0,-0.00068782
2025-05-16,688.0,0.0003731
2025-05-16,-586.5,-0.00059489
2025-05-20,-551.0,-0.00022168
2025-05-20,-562.5,-0.0002918
2025-05-20,-575.0,-0.00026841
2025-05-20,585.0,0.00075987
2025-05-20,648.0,0.00056062
2025-05-20,-577.5,-0.00064221
2025-05-20,6750.0,0.00063051
2025-05-20,-580.5,-0.00031475
2025-05-20,390.5,0.00012846
2025-05-20,-539.5,-0.00015175
2025-05-20,-561.0,-0.00019847
2025-05-20,564.0,0.00054867
2025-05-20,-577.5,-0.00038512
2025-05-20,550.0,0.00025677
2025-05-20,52.0,0.00002333
2025-05-22,-585.0,-0.00229964
2025-05-22,-781.0,-0.00167455
2025-05-22,-572.0,-0.00061335
2025-05-23,-522.0,-0.00208062
2025-05-26,-551.0,-0.00022321
2025-05-26,564.0,0.00028206
2025-05-26,-575.0,-0.00027028
2025-05-26,946.0,0.00051739
2025-05-26,-572.0,-0.00025852
2025-05-26,2001.0,0.00081175
2025-05-26,800.0,0.00018815
2025-05-26,-555.0,-0.00011756
2025-05-26,638.0,0.00025865
2025-05-26,747.0,0.00021156
2025-05-27,-574.0,-0.00032905
2025-05-27,-586.5,-0.00059937
2025-05-27,579.0,0.00226266
2025-05-28,581.0,0.00096384
2025-05-28,790.0,0.00091839
2025-05-28,585.0,0.0007567
2025-05-30,558.0,0.00218631
2025-05-30,1819.0,0.00125303
2025-05-30,-675.0,-0.0008768
